values,position,position,position,position,position,position,Magnetometer,Magnetometer,Magnetometer,Magnetometer,Magnetometer,Magnetometer,Magnet,Magnet,Magnet
axis,x,x,y,y,z,z,x,x,y,y,z,z,x,y,z
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,position,position,position
Sensor,,,,,,,,,,,,,,,
2,0.0,0.0,35.0,0.0,0.0,0.0,0.01684581956175782,0.0001179294536297609,-0.0037100624311420687,0.00011514837492064053,-0.19307301995348264,0.00015223242490376552,-1.5,0.0,0.0
3,35.0,0.0,35.0,0.0,0.0,0.0,0.04016238217652094,0.0001296525751930776,0.010551169053739696,0.00013788326793808236,-0.03668239686620145,0.00012849511539017464,-1.5,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027136124372628176,0.00013206330254945497,-0.05319212877953233,0.00011179035424162376,-0.06177457461133549,0.00014181084529747058,5.0,-3.5,2.5
1,35.0,0.0,0.0,0.0,0.0,0.0,0.016901089484636995,0.0001270362759706027,-0.00692092055331125,0.00014321487297613283,-0.002842330762639197,0.00013233031688888091,5.0,-3.5,2.5
2,0.0,0.0,35.0,0.0,0.0,0.0,-0.029653507161219186,0.00013571434012680082,0.024724323662626956,0.00017456366019653546,-0.15216440200758963,0.00015443852625483988,5.0,-3.5,2.5
3,35.0,0.0,35.0,0.0,0.0,0.0,0.048697392581711296,0.00012202506185044463,0.01514628473497363,0.00012277206696935638,-0.05501328191945154,0.000158404729984622,5.0,-3.5,2.5
0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024220161586485444,0.00011277659934104924,-0.04575780389276529,0.00010357291000165957,-0.052877035132819154,0.00013036429635004788,4.5,3.0,0.5
1,35.0,0.0,0.0,0.0,0.0,0.0,0.01214279593585501,0.00014375624385473974,-0.00352344228179699,0.00013264005112881497,0.0007830823846247461,0.00014978405803832965,4.5,3.0,0.5
2,0.0,0.0,35.0,0.0,0.0,0.0,-0.03233565919941237,0.00011646076236640559,-0.024832231607295828,0.00016011276183906914,-0.16239772309952255,0.00013561148216392996,4.5,3.0,0.5
3,35.0,0.0,35.0,0.0,0.0,0.0,0.050922940384379924,0.00011134548837126738,0.003062737177133016,0.00021393177667198684,-0.0495276043579385,0.00014027221421233227,4.5,3.0,0.5
0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01954786387562732,0.00011362821297197166,-0.04734404455869747,0.0001211969675715741,-0.052859346309217736,0.0001311380336275276,-1.0,3.0,0.0
