values,,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z
Sensor,Sample,,,
0,42,0.04423430040396621,0.07578650997674133,-0.0010405190353776472
0,43,0.044283266005631046,0.07597013098298445,-0.0013893989472395642
0,44,0.04438119720896071,0.07581099277757375,-0.0013159505447423185
0,45,0.04438119720896071,0.07581099277757375,-0.0013159505447423185
0,46,0.04427714530542294,0.07601909658464928,-0.0012302607418288652
0,47,0.04467499081894969,0.0760435793854817,-0.0005202595176888236
0,48,0.04467499081894969,0.0760435793854817,-0.0005202595176888236
0,49,0.04433835230750398,0.07577426857632513,-0.0014444852491124986
0,50,0.044185334802301385,0.07606194148610601,-0.0017076753580609623
0,51,0.04425878320479863,0.0759028032806953,-0.0013832782470314603
0,52,0.04458930101603624,0.07579263067694944,-0.001432243848696291
0,53,0.04444852491124985,0.07606194148610601,-0.0014444852491124986
0,54,0.04444852491124985,0.07606194148610601,-0.001046639735585751
0,55,0.04460766311666055,0.07609866568735464,-0.0013832782470314603
0,56,0.04460766311666055,0.07609866568735464,-0.0009364671318398824
0,57,0.044283266005631046,0.07609866568735464,-0.0009364671318398824
0,58,0.04449749051291468,0.07613538988860326,-0.0011568123393316196
0,59,0.044430162810625534,0.07568857877341167,-0.0017566409597257926
0,60,0.04423430040396621,0.0761965968906843,-0.0014750887501530177
0,61,0.044301628106255354,0.07606806218631411,-0.001273105643285592
0,62,0.044626025217284856,0.07589668258048721,-0.0011812951401640349
0,63,0.04434447300771208,0.07609254498714653,-0.0017199167584771697
0,64,0.04430774880646346,0.07576814787611703,-0.0012669849430774881
0,65,0.04431999020687967,0.07598849308360876,-0.0018117272615987268
0,66,0.04460154241645244,0.07608030358673032,-0.001144570938915412
0,67,0.044558697514995714,0.07599461378381686,-0.0014689680499449136
0,68,0.04438731790916881,0.07575590647570082,-0.0012302607418288652
0,69,0.044411800710001226,0.07595788958256824,-0.0016587097563961317
0,70,0.04443628351083364,0.07610478638756274,-0.0011078467376667892
0,71,0.04443628351083364,0.07610478638756274,-0.00146284734973681
0,72,0.04433835230750398,0.07589056188027911,-0.00146284734973681
0,73,0.044424042110417436,0.07612926918839516,-0.0013159505447423185
0,74,0.04449136981270657,0.07596401028277636,-0.0015913820541069898
0,75,0.04425266250459052,0.07601909658464928,-0.0016036234545231975
0,76,0.04435059370792019,0.07595176888236013,-0.0014750887501530177
0,77,0.044430162810625534,0.07593340678173584,-0.001934141265760803
0,78,0.044417921410209324,0.07570694087403598,-0.0016403476557718202
0,79,0.044515852613538985,0.07592728608152773,-0.0015424164524421593
0,80,0.04438731790916881,0.07608642428693843,-0.0011874158403721385
0,81,0.04433835230750398,0.07589056188027911,-0.0014016403476557718
0,82,0.044515852613538985,0.07611090708777084,-0.001554657852858367
0,83,0.044515852613538985,0.07576202717590892,-0.0011690537397478272
0,84,0.04460154241645244,0.07576202717590892,-0.0011874158403721385
0,85,0.04434447300771208,0.07591504468111152,-0.0011874158403721385
0,86,0.04429550740604725,0.07589056188027911,-0.0012486228424531767
0,87,0.0443750765087526,0.07582323417798996,-0.0016281062553556128
0,88,0.04434447300771208,0.07584771697882238,-0.0014200024482800833
0,89,0.044558697514995714,0.07609866568735464,-0.0010956053372505816
0,90,0.04449749051291468,0.07605582078589791,-0.0014750887501530177
0,91,0.044430162810625534,0.07598849308360876,-0.001273105643285592
0,92,0.04446076631166605,0.07577426857632513,-0.0017199167584771697
0,93,0.0443750765087526,0.07586607907944669,-0.0010037948341290244
0,94,0.04448524911249847,0.07601909658464928,-0.0011690537397478272
0,95,0.044552576814787616,0.0762088382911005,-0.001138450238707308
0,96,0.0445342147141633,0.0762149589913086,-0.0015607785530664707
0,97,0.04443628351083364,0.07599461378381686,-0.0014995715509854327
0,98,0.04443628351083364,0.07599461378381686,-0.001144570938915412
0,99,0.04447912841229036,0.07607418288652222,-0.001144570938915412
1,0,-0.05719794344473008,0.08304566042355246,0.014830456604235525
1,1,-0.05719794344473008,0.08304566042355246,0.014830456604235525
1,2,-0.057418288652221816,0.08300281552209574,0.014879422205900356
1,3,-0.057063288040151795,0.08301505692251193,0.014659076998408618
1,4,-0.057063288040151795,0.08301505692251193,0.014659076998408618
1,5,-0.05730199534826784,0.08317419512792264,0.014726404700697759
1,6,-0.05714285714285714,0.08312522952625781,0.014922267107357081
1,7,-0.05725302974660301,0.08292324641939038,0.014714163300281552
1,8,-0.05725302974660301,0.08292324641939038,0.014714163300281552
1,9,-0.057210184845146284,0.08300893622230383,0.015075284612559678
1,10,-0.05719182274452197,0.08292324641939038,0.0149528706083976
1,11,-0.05719182274452197,0.08292324641939038,0.0149528706083976
1,12,-0.05730199534826784,0.08315583302729831,0.015130370914432612
1,13,-0.0572285469457706,0.08289876361855796,0.01583425143836455
1,14,-0.0572285469457706,0.08289876361855796,0.01583425143836455
1,15,-0.05721630554535438,0.08314359162688212,0.015503733627126943
1,16,-0.057381564450973185,0.08327212633125229,0.015295629820051415
1,17,-0.057381564450973185,0.08327212633125229,0.015295629820051415
1,18,-0.05728363324764353,0.08298445342147141,0.015473130126086424
1,19,-0.057461133553678545,0.08315583302729831,0.014824335904027422
1,20,-0.05736932305055699,0.08322316072958746,0.014714163300281552
1,21,-0.05736932305055699,0.08322316072958746,0.014714163300281552
1,22,-0.057020443138695066,0.08325376423062798,0.014983474109438118
1,23,-0.05711225364181662,0.08317419512792264,0.014561145795078955
1,24,-0.05711225364181662,0.08317419512792264,0.014561145795078955
1,25,-0.05715509854327335,0.082959970620639,0.014763128901946383
1,26,-0.05698371893744645,0.08284979801689313,0.014475455992165504
1,27,-0.05698371893744645,0.08284979801689313,0.014475455992165504
1,28,-0.05710001224140041,0.0828008324152283,0.015148733015056922
1,29,-0.05700820173827886,0.082959970620639,0.014861060105276044
