X,Y,Z,MagneticField_X,MagneticField_Y,MagneticField_Z
-5,2,0,-0.01157821030725915,-0.01607869261843555,0.0294580940139552
-5,2,1,-0.01179580119965724,-0.01480332231607296,0.029032888970498223
-5,2,2,-0.011213600195862403,-0.013806811115191579,0.027780838535928512
-5,2,3,-0.010749467499081896,-0.012780002448280084,0.026494695801199657
-5,2,4,-0.010223821765209938,-0.011748909291222916,0.025355755906475704
-5,2,5,-0.009858599583792385,-0.011048272738401274,0.024115824458318034
-5,3,0,-0.01170080793242747,-0.015435345819561758,0.03041641204553801
-5,3,1,-0.011804247765944423,-0.014133840127310565,0.029959318153996817
-5,3,2,-0.011277439099032928,-0.01303027787978945,0.028620782225486596
-5,3,3,-0.010736124372628227,-0.012090077120822622,0.027282062675970133
-5,3,4,-0.01027676582201004,-0.01119786265148733,0.02597296731546089
-5,3,5,-0.009844766801322073,-0.01062998408617946,0.02482668258048721
-5,4,0,-0.011796658097686378,-0.01509228057289754,0.03148863630799363
-5,4,1,-0.011968343738523686,-0.013595891786020322,0.03091047496633615
-5,4,2,-0.011394956543028523,-0.012714143714040886,0.029445179336516098
-5,4,3,-0.010863373729954707,-0.011566757253029747,0.028105358060962177
-5,4,4,-0.010324201248622843,-0.010918207858979068,0.02680538254376301
-5,4,5,-0.009932782470314604,-0.010205758354755784,0.02557793732402987
-5,5,0,-0.011970730811604848,-0.014496552821642797,0.032296201493450846
-5,5,1,-0.012143150936467131,-0.013263598971722365,0.031635716733994367
-5,5,2,-0.011464610111396743,-0.012203922144693354,0.03029913942955074
-5,5,3,-0.010953898886032563,-0.01133227322805729,0.028689456481821522
-5,5,4,-0.010416317786754805,-0.010509834741094383,0.027421492226710736
-5,5,5,-0.009997906720528828,-0.009686906598114825,0.02606434936956788
-5,6,0,-0.012041302485004284,-0.013671115191577918,0.033201942710246055
-5,6,1,-0.012132868160117518,-0.012357184477904272,0.032579957155098545
-5,6,2,-0.011492948953360265,-0.01134169910637777,0.031066185579630312
-5,6,3,-0.010937985065491491,-0.010500164034765579,0.02958375198922757
-5,6,4,-0.01042329538499204,-0.009719223895213614,0.0281207822254866
-5,6,5,-0.009952552331986778,-0.009002489900844658,0.02683084465662872
-5,7,0,-0.012224862284245318,-0.013092402986901702,0.033889113722609866
-5,7,1,-0.01239134532990574,-0.012029910637776963,0.03329295752234056
-5,7,2,-0.011686118251928022,-0.011067981393071368,0.03185343004039662
-5,7,3,-0.01116316562614763,-0.01007165381319623,0.030194781491002572
-5,7,4,-0.010615056922511936,-0.009499429550740606,0.028756233321091933
-5,7,5,-0.010166838046272494,-0.008796589545844044,0.027354225731423678
-5,8,0,-0.012209438119720896,-0.012104705594319991,0.03478083853592851
-5,8,1,-0.012307246909046395,-0.010894337128167463,0.034021871710123636
-5,8,2,-0.011737654547680255,-0.0101004823111764,0.03232649895948096
-5,8,3,-0.011096817235891784,-0.009126434080058761,0.030860346431631783
-5,8,4,-0.010471893744644387,-0.00834335169543396,0.029336842942832664
-5,8,5,-0.010037507650875258,-0.007748970498224998,0.027934406904149833
-5,9,0,-0.012465895458440446,-0.011670992777573755,0.035544579507895704
-5,9,1,-0.012544240421104174,-0.010525809768637533,0.034807157546823356
-5,9,2,-0.011895201371036845,-0.009636349614395887,0.03303772432366263
-5,9,3,-0.01126691149467499,-0.008845861182519281,0.03139756028889705
-5,9,4,-0.010652638021789694,-0.008168972946505083,0.029882686987391358
-5,9,5,-0.010223393316195373,-0.007410985432733505,0.028404231852123887
-5,10,0,-0.012432292814297956,-0.010626556494062921,0.036213633247643526
-5,10,1,-0.012539221446933528,-0.009400335414371404,0.035408516342269554
-5,10,2,-0.011869800465173216,-0.008693455747337497,0.03361019341412658
-5,10,3,-0.011199889827396253,-0.007872180193414128,0.03191702411555882
-5,10,4,-0.01063482678418411,-0.007137634961439589,0.030341800710001223
-5,10,5,-0.01012607418288652,-0.006738626514873302,0.028892235279716003
-5,11,0,-0.01256113355367854,-0.009564308972946505,0.03689939649895948
-5,11,1,-0.012639723344350592,-0.008515220957277515,0.03598018974170645
-5,11,2,-0.011944840249724569,-0.007820888725670216,0.03410566409597258
-5,11,3,-0.011273093401885176,-0.007204411800710002,0.03242345085077732
-5,11,4,-0.01065600440690415,-0.006554760680621863,0.030823683437385237
-5,11,5,-0.01015606561390623,-0.006080834863508386,0.029295099767413395
-5,12,0,-0.012611017260374589,-0.008754723956420615,0.037354960215448645
-5,12,1,-0.01264321214346921,-0.007516506304321215,0.03647933284367732
-5,12,2,-0.011963324764353044,-0.007109663361488555,0.03453454155955441
-5,12,3,-0.011362149589913086,-0.006444098420859347,0.03282668258048721
-5,12,4,-0.010658636307993633,-0.005722406659321827,0.031238605704492595
-5,12,5,-0.010173876851511814,-0.005281961072346677,0.02967060472518056
-5,13,0,-0.012603121557106134,-0.00766952380952381,0.037892602521728484
-5,13,1,-0.012652025951768883,-0.006574285714285716,0.036957604357938545
-5,13,2,-0.012011923124005387,-0.00604925205043457,0.03512659689068429
-5,13,3,-0.011306940874035987,-0.005407251805606562,0.033260579018239686
-5,13,4,-0.010656738890929121,-0.0049599510343983355,0.031635227077977716
-5,13,5,-0.010127237115926061,-0.004578753825437631,0.03002395274819439
-5,14,0,-0.012696829477292202,-0.006579916758477171,0.03830617823479006
-5,14,1,-0.012792067572530295,-0.005771739502999144,0.03722165136491615
-5,14,2,-0.012083780144448525,-0.005336251683192558,0.03535104296731546
-5,14,3,-0.011385836699718446,-0.00479744644387318,0.03347627249357327
-5,14,4,-0.01069438119720896,-0.004420656139062309,0.03187038437997307
-5,14,5,-0.010195666544252663,-0.004019811482433591,0.030210266862529075
-5,15,0,-0.012629685396009303,-0.005407068184600319,0.03863730811604847
-5,15,1,-0.012731411433467989,-0.00431752234055576,0.037567164891663604
-5,15,2,-0.01198144203696903,-0.004059045170767536,0.035768719549516464
-5,15,3,-0.011229514016403475,-0.003510630432121435,0.03381719549516465
-5,15,4,-0.010600795691027055,-0.003204717835720407,0.032180214224507286
-5,15,5,-0.010078944791284124,-0.0029519941241278012,0.03057555025094871
-5,16,0,-0.012631705227077978,-0.004579182274452198,0.03890215081405313
-5,16,1,-0.0128440323172971,-0.0038095654302852267,0.03770071857020443
-5,16,2,-0.01205470681846003,-0.0033593879299791893,0.03590796547925083
-5,16,3,-0.011345562492349127,-0.0030056726649528714,0.034040723466764594
-5,16,4,-0.010699461378381687,-0.0027328730566776836,0.032285796303097074
-5,16,5,-0.010161145795078957,-0.002502795935855062,0.030594830456604237
-5,17,0,-0.012993561023381076,-0.0025970547190598617,0.04001354755784062
-5,17,1,-0.01269560533725058,-0.0022624360386828257,0.03788427836944546
-5,17,2,-0.011919378136858855,-0.001983087281184969,0.03616124005386216
-5,17,3,-0.011186975149957153,-0.001802281797037581,0.034059024360386825
-5,17,4,-0.010562541314726406,-0.0015580658587342408,0.03245717590892398
-5,17,5,-0.010008923980903413,-0.0013487991186191695,0.030742278124617457
-5,18,0,-0.01324744766801322,-0.0014607467254253905,0.04020940996449994
-5,18,1,-0.012701358795446198,-0.0014625217284857384,0.038015383767903047
-5,18,2,-0.011975443750765088,-0.001268189496878444,0.03618511078467376
-5,18,3,-0.01123740971967193,-0.0010499865344595436,0.034192394417921414
-5,18,4,-0.0105480352552332,-0.0007534386093769121,0.03256006487942221
-5,18,5,-0.010008679152895088,-0.0006331056432855933,0.030817011874158407
-5,19,0,-0.013174672542538866,-0.0003494723956420625,0.04023934018851757
-5,19,1,-0.012610894846370423,-0.00027014812094503654,0.03800485616354511
-5,19,2,-0.011820773656506304,-0.0002076557718202962,0.03612267964255111
-5,19,3,-0.01114364059248378,0.000146732770228912,0.03414869261843555
-5,19,4,-0.01047562737177133,2.6154976129266413e-05,0.032521504468111154
-5,19,5,-0.009901077243236626,0.0003313942955074055,0.030729791896192925
-5,20,0,-0.012724801077243237,0.0008395960337862635,0.039819031705227076
-5,20,1,-0.012450471293916025,0.0007832855918717095,0.03795521728485739
-5,20,2,-0.011750140776104787,0.0009779238584894118,0.03611368221324519
-5,20,3,-0.01104050679397723,0.001018198065858733,0.0341575676337373
-5,20,4,-0.010340237483168074,0.0010568808911739485,0.03254255967682703
-5,20,5,-0.009862027175908922,0.0009407100012241397,0.030809483412902437
-4,-10,0,-0.010935414371404089,-0.017328968049944916,0.02497596645856286
-4,-10,1,-0.010530530052638022,-0.01574321704002938,0.024793630799363447
-4,-10,2,-0.010548402497245684,-0.014694435059370793,0.02388874648059738
-4,-10,3,-0.010134581956175785,-0.013785878320479865,0.023091831313502266
-4,-10,4,-0.00977811237605582,-0.012648346186803772,0.0220113441057657
-4,-10,5,-0.009441106622597624,-0.011801424899008447,0.0211385322560901
