values,,Magnetometer,Magnetometer,Magnetometer,position,position,position
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,63,-0.060956053372505814,-0.03994368955808544,-0.07124495042232831,0.0,0.0,0.0
0,64,-0.060956053372505814,-0.03994368955808544,-0.07124495042232831,0.0,0.0,0.0
0,65,-0.06086424286938426,-0.040164034765577186,-0.07117150201983106,0.0,0.0,0.0
0,66,-0.06083976006855184,-0.03997429305912596,-0.07151426123148488,0.0,0.0,0.0
0,67,-0.06083976006855184,-0.03997429305912596,-0.07151426123148488,0.0,0.0,0.0
0,68,-0.06069286326355735,-0.03985187905496389,-0.07120210552087158,0.0,0.0,0.0
0,69,-0.06096217407271391,-0.03996817235891786,-0.07123882972212021,0.0,0.0,0.0
0,70,-0.06096217407271391,-0.03996817235891786,-0.07123882972212021,0.0,0.0,0.0
0,71,-0.06102950177500306,-0.03980291345329905,-0.07084098420859346,0.0,0.0,0.0
0,72,-0.06072958746480598,-0.03994368955808544,-0.07103684661525278,0.0,0.0,0.0
0,73,-0.060772432366262695,-0.04009670706328804,-0.07131227812461746,0.0,0.0,0.0
0,74,-0.060772432366262695,-0.04009670706328804,-0.07131227812461746,0.0,0.0,0.0
0,75,-0.0607663116660546,-0.03999265515975027,-0.07105520871587709,0.0,0.0,0.0
0,76,-0.0609193291712572,-0.039955930958501654,-0.0712082262210797,0.0,0.0,0.0
0,77,-0.0609193291712572,-0.039955930958501654,-0.0712082262210797,0.0,0.0,0.0
0,78,-0.0607663116660546,-0.039839637654547684,-0.07117762272003916,0.0,0.0,0.0
0,79,-0.060870363569592356,-0.040066103562247525,-0.071226588321704,0.0,0.0,0.0
0,80,-0.060870363569592356,-0.040066103562247525,-0.071226588321704,0.0,0.0,0.0
0,81,-0.060992777573754445,-0.03987636185579631,-0.07111029501775004,0.0,0.0,0.0
0,82,-0.06077855306647081,-0.039882482556004406,-0.07082874280817726,0.0,0.0,0.0
0,83,-0.06077855306647081,-0.039882482556004406,-0.07082874280817726,0.0,0.0,0.0
0,84,-0.06086424286938426,-0.03979067205288285,-0.07108581221691761,0.0,0.0,0.0
0,85,-0.061207002081038075,-0.03997429305912596,-0.07109193291712572,0.0,0.0,0.0
0,86,-0.061207002081038075,-0.03997429305912596,-0.07109193291712572,0.0,0.0,0.0
0,87,-0.060968294772922024,-0.03997429305912596,-0.07107357081650141,0.0,0.0,0.0
0,88,-0.060809156567511326,-0.03964989594809647,-0.07087770840984209,0.0,0.0,0.0
0,89,-0.060809156567511326,-0.03964989594809647,-0.07087770840984209,0.0,0.0,0.0
0,90,-0.06090096707063288,-0.03993144815766923,-0.07110417431754193,0.0,0.0,0.0
0,91,-0.06053372505814665,-0.03991920675725303,-0.07102460521483658,0.0,0.0,0.0
0,92,-0.06053372505814665,-0.03991920675725303,-0.07102460521483658,0.0,0.0,0.0
0,93,-0.06082139796792753,-0.03997429305912596,-0.07126331252295262,0.0,0.0,0.0
0,94,-0.06101726037458686,-0.03987636185579631,-0.07108581221691761,0.0,0.0,0.0
0,95,-0.06088872567021667,-0.04005998286203942,-0.07104908801566899,0.0,0.0,0.0
0,96,-0.06088872567021667,-0.04005998286203942,-0.07104908801566899,0.0,0.0,0.0
0,97,-0.06112131227812462,-0.03983351695433958,-0.07116538131962297,0.0,0.0,0.0
0,98,-0.060852001468968055,-0.03997429305912596,-0.07096339821275553,0.0,0.0,0.0
0,99,-0.060852001468968055,-0.03997429305912596,-0.07096339821275553,0.0,0.0,0.0
1,0,0.030866691149467503,-0.04490145672664953,-0.05309095360509243,35.0,0.0,0.0
1,1,0.030707552944056797,-0.04536050924225731,-0.0533725058146652,35.0,0.0,0.0
1,2,0.030817725547802672,-0.04490145672664953,-0.05320112620883829,35.0,0.0,0.0
1,3,0.030817725547802672,-0.04490145672664953,-0.05320112620883829,35.0,0.0,0.0
1,4,0.030603501040519038,-0.04504223283143592,-0.05320112620883829,35.0,0.0,0.0
1,5,0.03073815644509732,-0.04520749173705472,-0.05301750520259517,35.0,0.0,0.0
1,6,0.03051781123760558,-0.04525033663851145,-0.05318276410821397,35.0,0.0,0.0
1,7,0.03051781123760558,-0.04525033663851145,-0.05318276410821397,35.0,0.0,0.0
1,8,0.030719794344473007,-0.04520749173705472,-0.053219488309462604,35.0,0.0,0.0
1,9,0.03065858734239197,-0.0453299057412168,-0.05304198800342759,35.0,0.0,0.0
1,10,0.03065858734239197,-0.0453299057412168,-0.05304198800342759,35.0,0.0,0.0
1,11,0.030756518545721628,-0.0448586118251928,-0.053213367609254505,35.0,0.0,0.0
1,12,0.030585138939894722,-0.04502999143101971,-0.05320112620883829,35.0,0.0,0.0
1,13,0.030585138939894722,-0.04502999143101971,-0.05320112620883829,35.0,0.0,0.0
1,14,0.030860570449259394,-0.04502999143101971,-0.05285836699718448,35.0,0.0,0.0
1,15,0.03068919084343249,-0.04513404333455747,-0.05323172970987881,35.0,0.0,0.0
1,16,0.03068919084343249,-0.04513404333455747,-0.05323172970987881,35.0,0.0,0.0
1,17,0.030848329048843187,-0.045384992043089725,-0.05304198800342759,35.0,0.0,0.0
1,18,0.03079324274697025,-0.04513404333455747,-0.05320724690904639,35.0,0.0,0.0
1,19,0.030683070143224384,-0.04483412902436039,-0.053317419512792265,35.0,0.0,0.0
1,20,0.030683070143224384,-0.04483412902436039,-0.053317419512792265,35.0,0.0,0.0
1,21,0.03074427714530542,-0.04520749173705472,-0.053146039906965356,35.0,0.0,0.0
1,22,0.03064022524176766,-0.045085077732892644,-0.05323785041008692,35.0,0.0,0.0
1,23,0.03064022524176766,-0.045085077732892644,-0.05323785041008692,35.0,0.0,0.0
1,24,0.030621863141143346,-0.045140164034765576,-0.053146039906965356,35.0,0.0,0.0
