values,,Magnetometer,Magnetometer,Magnetometer,position,position,position
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,64,-0.051548537152650266,-0.04930224017627617,-0.07440935242991799,0.0,0.0,0.0
0,65,-0.05140164034765578,-0.04910637776961684,-0.07429305912596401,0.0,0.0,0.0
0,66,-0.05140164034765578,-0.04910637776961684,-0.07429305912596401,0.0,0.0,0.0
0,67,-0.05159750275431509,-0.04945525768147876,-0.0742746970253397,0.0,0.0,0.0
0,68,-0.051793365160974415,-0.04939405067939772,-0.07440323172970988,0.0,0.0,0.0
0,69,-0.051793365160974415,-0.04939405067939772,-0.07440323172970988,0.0,0.0,0.0
0,70,-0.05167095115681234,-0.049424654180438246,-0.07436650752846126,0.0,0.0,0.0
0,71,-0.051548537152650266,-0.04910637776961684,-0.0744277145305423,0.0,0.0,0.0
0,72,-0.051548537152650266,-0.04910637776961684,-0.0744277145305423,0.0,0.0,0.0
0,73,-0.05148120945036112,-0.04944913698127066,-0.07423797282409109,0.0,0.0,0.0
0,74,-0.05146284734973681,-0.04906965356836822,-0.07435426612804505,0.0,0.0,0.0
0,75,-0.05146284734973681,-0.04906965356836822,-0.07435426612804505,0.0,0.0,0.0
0,76,-0.05159750275431509,-0.0493573264781491,-0.07452564573387196,0.0,0.0,0.0
0,77,-0.05178112376055821,-0.049143101970865466,-0.07425633492471538,0.0,0.0,0.0
0,78,-0.05178112376055821,-0.049143101970865466,-0.07425633492471538,0.0,0.0,0.0
0,79,-0.051413881748071974,-0.049271636675235646,-0.07417064512180194,0.0,0.0,0.0
0,80,-0.051493450850777334,-0.0493573264781491,-0.07418288652221813,0.0,0.0,0.0
0,81,-0.051493450850777334,-0.0493573264781491,-0.07418288652221813,0.0,0.0,0.0
0,82,-0.05134043334557473,-0.04939405067939772,-0.07437262822866936,0.0,0.0,0.0
0,83,-0.05156077855306647,-0.049430774880646344,-0.07436038682825316,0.0,0.0,0.0
0,84,-0.05162810625535561,-0.04932060227690048,-0.07429917982617211,0.0,0.0,0.0
0,85,-0.05162810625535561,-0.04932060227690048,-0.07429917982617211,0.0,0.0,0.0
0,86,-0.05157301995348268,-0.04940629207981393,-0.07451340433345574,0.0,0.0,0.0
0,87,-0.051511812951401635,-0.04932060227690048,-0.07449504223283143,0.0,0.0,0.0
0,88,-0.051511812951401635,-0.04932060227690048,-0.07449504223283143,0.0,0.0,0.0
0,89,-0.05159750275431509,-0.04917982617211409,-0.07429917982617211,0.0,0.0,0.0
0,90,-0.05156077855306647,-0.04911861917003305,-0.07437262822866936,0.0,0.0,0.0
0,91,-0.05156077855306647,-0.04911861917003305,-0.07437262822866936,0.0,0.0,0.0
0,92,-0.05136491614640715,-0.049216550373362714,-0.07426245562492349,0.0,0.0,0.0
0,93,-0.05134043334557473,-0.04917982617211409,-0.07438486962908557,0.0,0.0,0.0
0,94,-0.05134043334557473,-0.04917982617211409,-0.07438486962908557,0.0,0.0,0.0
0,95,-0.05133431264536663,-0.049130860570449256,-0.07432366262700453,0.0,0.0,0.0
0,96,-0.051493450850777334,-0.049326722977108585,-0.07437262822866936,0.0,0.0,0.0
0,97,-0.051493450850777334,-0.049326722977108585,-0.07437262822866936,0.0,0.0,0.0
0,98,-0.051548537152650266,-0.04909413636920064,-0.07429917982617211,0.0,0.0,0.0
0,99,-0.05148120945036112,-0.04925327457461133,-0.07442159383033418,0.0,0.0,0.0
1,0,0.029636430407638636,-0.028583669971844777,-0.027530909536050925,35.0,0.0,0.0
1,1,0.029636430407638636,-0.028583669971844777,-0.027530909536050925,35.0,0.0,0.0
