values,,Magnetometer,Magnetometer,Magnetometer,position,position,position
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,63,-0.071697882237728,-0.04622964867180805,-0.09502387073081162,0.0,0.0,0.0
0,64,-0.0716856408373118,-0.04596033786265148,-0.09504835353164402,0.0,0.0,0.0
0,65,-0.07161831313502265,-0.046033786265148736,-0.09444240421104175,0.0,0.0,0.0
0,66,-0.07183253764230628,-0.04619904517076753,-0.0950055086301873,0.0,0.0,0.0
0,67,-0.07175908923980903,-0.04586852735952993,-0.09498714652956299,0.0,0.0,0.0
0,68,-0.07159383033419023,-0.046021544864732526,-0.09502387073081162,0.0,0.0,0.0
0,69,-0.0718631411433468,-0.04591749296119476,-0.09496878442893866,0.0,0.0,0.0
0,70,-0.07182641694209818,-0.04610111396743787,-0.09520749173705471,0.0,0.0,0.0
0,71,-0.07213857265271148,-0.04599706206390011,-0.09426490390500673,0.0,0.0,0.0
0,72,-0.07172236503856042,-0.04599706206390011,-0.09507283633247644,0.0,0.0,0.0
0,73,-0.07192434814542784,-0.045911372260986655,-0.09521361243726281,0.0,0.0,0.0
0,74,-0.07180193414126576,-0.04604602766556494,-0.09498102582935489,0.0,0.0,0.0
0,75,-0.07173460643897663,-0.04578283755661648,-0.09514016403476558,0.0,0.0,0.0
0,76,-0.07173460643897663,-0.045752234055575956,-0.09492593952748193,0.0,0.0,0.0
0,77,-0.07206512425021423,-0.045752234055575956,-0.09492593952748193,0.0,0.0,0.0
0,78,-0.07161831313502265,-0.04615620026931081,-0.09514016403476558,0.0,0.0,0.0
0,79,-0.07175296853960092,-0.045880768759946136,-0.09479740482311176,0.0,0.0,0.0
0,80,-0.07166115803647938,-0.04583792385848941,-0.09509119843310074,0.0,0.0,0.0
0,81,-0.07152650263190109,-0.046278614273472886,-0.09491981882727384,0.0,0.0,0.0
0,82,-0.07180193414126576,-0.045899130860570445,-0.09509731913330885,0.0,0.0,0.0
0,83,-0.07175296853960092,-0.045966458562859594,-0.09503611213122781,0.0,0.0,0.0
0,84,-0.0720284000489656,-0.04577671685640837,-0.09512180193414127,0.0,0.0,0.0
0,85,-0.07191822744521972,-0.04628473497368099,-0.09457093891541193,0.0,0.0,0.0
0,86,-0.0717162443383523,-0.046039906965356835,-0.09449749051291467,0.0,0.0,0.0
0,87,-0.071697882237728,-0.04586852735952993,-0.09497490512914677,0.0,0.0,0.0
