,SampleID,Accelerometerx,Accelerometery,Accelerometerz,Magnetometerx,Magnetometery,Magnetometerz,Gyroscopex,Gyroscopey,Gyroscopez,EulerAngx,EulerAngy,EulerAngz,Quaternionx,Quaterniony,Quaternionz,LinearAccelerationx,LinearAccelerationy,LinearAccelerationz,Gravityx,Gravityy,Gravityz
11,0.05,-0.39,9.370000000000001,-2048.0,-2048.0,-2048.0,0.001090830782496456,0.0,-0.002181661564992912,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.01,-0.38,0.05,-0.36,9.790000000000001
12,0.05,-0.34,9.4,-2048.0,-2048.0,-2048.0,0.002181661564992912,0.001090830782496456,0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.03,0.01,-0.39,0.05,-0.36,9.790000000000001
13,0.02,-0.37,9.39,-2048.0,-2048.0,-2048.0,0.001090830782496456,0.0,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,1.28,-0.02,-0.41000000000000003,0.05,-0.36,9.790000000000001
14,0.06,-0.37,9.370000000000001,-2048.0,-2048.0,-2048.0,0.003272492347489368,0.001090830782496456,0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.01,0.01,-0.39,0.05,-0.36,9.790000000000001
15,0.08,-0.31,9.51,-2048.0,-2048.0,-2048.0,-0.001090830782496456,0.0,0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.07,-0.33,0.05,-0.36,9.790000000000001
16,0.02,-0.39,9.3,-2048.0,-2048.0,-2048.0,0.0,0.003272492347489368,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.02,-0.04,-0.45,0.05,-0.36,9.790000000000001
17,0.11,-0.3,9.43,-2048.0,-2048.0,-2048.0,0.14180800172453928,0.002181661564992912,-0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.05,0.07,-0.39,0.05,-0.36,9.790000000000001
18,-0.01,-0.36,9.38,-2048.0,-2048.0,-2048.0,-0.001090830782496456,0.0,-0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.02,-0.02,-0.44,0.05,-0.36,9.790000000000001
19,0.01,-0.37,9.36,-2048.0,-2048.0,-2048.0,-0.002181661564992912,0.002181661564992912,-0.003272492347489368,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.03,0.0,-0.37,0.05,-0.36,9.790000000000001
20,0.07,-0.33,9.39,-2048.0,-2048.0,-2048.0,-0.001090830782496456,0.001090830782496456,-0.002181661564992912,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,-0.03,-0.42,0.05,-0.36,9.790000000000001
21,0.04,-0.36,9.42,-2048.0,-2048.0,-2048.0,-0.001090830782496456,0.001090830782496456,-0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.01,-0.38,0.05,-0.36,9.790000000000001
22,0.05,-0.33,9.39,-2048.0,-2048.0,-2048.0,-0.001090830782496456,-0.002181661564992912,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,-0.01,-0.41000000000000003,0.05,-0.36,9.790000000000001
23,0.02,-0.34,9.4,-2048.0,-2048.0,-2048.0,-0.001090830782496456,0.003272492347489368,0.002181661564992912,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.01,0.0,-0.38,0.05,-0.36,9.790000000000001
24,0.04,-0.38,9.39,-2048.0,-2048.0,-2048.0,-0.001090830782496456,0.0,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.02,0.01,-0.41000000000000003,0.05,-0.36,9.790000000000001
25,0.05,-0.36,9.4,-2048.0,-2048.0,-2048.0,0.0,0.001090830782496456,0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.01,-0.38,0.05,-0.36,9.790000000000001
26,0.05,-0.38,9.39,-2048.0,-2048.0,0.0,-0.001090830782496456,0.0,-0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,-0.03,-0.42,0.05,-0.36,9.790000000000001
27,0.05,-0.35000000000000003,9.39,-2048.0,-2048.0,-2048.0,-0.001090830782496456,0.001090830782496456,-0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.01,0.02,-0.39,0.05,-0.36,9.790000000000001
28,0.05,-0.37,9.39,-2048.0,-2048.0,-2048.0,-0.001090830782496456,0.0,0.002181661564992912,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,-0.01,-0.41000000000000003,0.05,-0.36,9.790000000000001
29,0.03,-0.37,9.4,-2048.0,-2048.0,-2048.0,-0.001090830782496456,-0.002181661564992912,0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.0,-0.4,0.05,-0.36,9.790000000000001
30,0.02,-0.36,9.39,-2048.0,-2048.0,-2048.0,-0.001090830782496456,0.001090830782496456,0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.02,-0.02,-0.38,0.05,-0.36,9.790000000000001
31,0.05,-0.36,9.38,-2048.0,-2048.0,-2048.0,-0.001090830782496456,0.003272492347489368,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.01,-0.37,0.05,-0.36,9.790000000000001
32,0.04,-0.34,9.43,-2048.0,-2048.0,-2048.0,0.0,-0.001090830782496456,0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.01,0.0,-0.42,0.05,-0.36,9.790000000000001
33,0.04,-0.36,9.42,-2048.0,-2048.0,-2048.0,0.001090830782496456,0.002181661564992912,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.0,-0.37,0.05,-0.36,9.790000000000001
34,0.05,-0.38,9.38,-2048.0,-2048.0,-2048.0,0.0,-0.001090830782496456,0.003272492347489368,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.01,0.0,-0.39,0.05,-0.36,9.790000000000001
35,0.05,-0.37,9.370000000000001,-2048.0,-2048.0,-2048.0,0.003272492347489368,0.002181661564992912,-0.003272492347489368,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.01,0.01,-0.4,0.05,-0.36,9.790000000000001
36,0.04,-0.36,9.39,-2048.0,-2048.0,-2048.0,0.0,0.002181661564992912,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,-0.02,-0.42,0.05,-0.36,9.790000000000001
37,0.06,-0.33,9.39,-2048.0,-2048.0,-2048.0,-0.003272492347489368,0.002181661564992912,-0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.01,-0.4,0.05,-0.36,9.790000000000001
38,0.04,-0.35000000000000003,9.39,-2048.0,-2048.0,-2048.0,0.001090830782496456,-0.001090830782496456,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.01,-0.04,-0.38,0.05,-0.36,9.790000000000001
39,0.05,-0.36,9.42,-2048.0,-2048.0,-2048.0,-0.002181661564992912,-0.002181661564992912,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.02,0.01,-0.38,0.05,-0.36,9.790000000000001
40,0.04,-0.38,9.4,-2040.0,-2048.0,-2048.0,-0.001090830782496456,0.002181661564992912,-0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.02,0.0,-0.42,0.05,-0.36,9.790000000000001
41,0.05,-0.34,9.4,-2048.0,-2048.0,-2048.0,0.001090830782496456,-0.001090830782496456,-0.002181661564992912,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.01,0.0,-0.39,0.05,-0.36,9.790000000000001
42,0.03,-0.35000000000000003,9.38,-2048.0,-2048.0,-2048.0,-0.002181661564992912,0.001090830782496456,-0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.01,-0.4,0.05,-0.36,9.790000000000001
43,0.04,-0.37,9.4,-2048.0,-2048.0,-2048.0,-0.001090830782496456,0.0,0.0,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.0,-0.37,0.05,-0.36,9.790000000000001
44,0.04,-0.35000000000000003,9.39,-2048.0,-2048.0,-2048.0,-0.001090830782496456,-0.002181661564992912,-0.002181661564992912,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.01,-0.01,-0.42,0.05,-0.36,9.790000000000001
45,0.06,-0.37,9.39,-2048.0,-2048.0,-2048.0,-0.002181661564992912,0.002181661564992912,-0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,0.0,0.01,-0.36,0.05,-0.36,9.790000000000001
46,0.06,-0.41000000000000003,9.38,-2048.0,-2048.0,-2048.0,-0.002181661564992912,0.001090830782496456,-0.001090830782496456,1.25,0.3125,2.125,0.999755859375,-0.01861572265625,-0.0028076171875,-0.01092529296875,-0.02,0.01,-0.41000000000000003,0.05,-0.36,9.790000000000001
