Time,X,Y,Z
2025-03-26T15:55:00.846,     109.22,      197.32,      140.76
2025-03-26T15:55:01.462,     109.23,      197.35,      140.80
2025-03-26T15:55:01.963,     109.23,      197.35,      140.80
2025-03-26T15:55:02.513,     109.21,      197.33,      140.80
2025-03-26T15:55:03.027,     109.23,      197.34,      140.76
2025-03-26T15:55:03.543,     109.22,      197.32,      140.75
2025-03-26T15:55:04.061,     109.22,      197.33,      140.75
2025-03-26T15:55:04.577,     109.23,      197.33,      140.78
2025-03-26T15:55:05.093,     109.23,      197.32,      140.79
2025-03-26T15:55:05.609,     109.22,      197.32,      140.78
2025-03-26T15:55:06.109,     109.23,      197.34,      140.78
2025-03-26T15:55:06.625,     109.22,      197.34,      140.79
2025-03-26T15:55:07.141,     109.24,      197.34,      140.81
2025-03-26T15:55:07.655,     109.23,      197.33,      140.76
2025-03-26T15:55:08.171,     109.22,      197.33,      140.75
2025-03-26T15:55:08.687,     109.23,      197.33,      140.76
2025-03-26T15:55:09.236,     109.22,      197.32,      140.79
2025-03-26T15:55:09.769,     109.23,      197.34,      140.80
2025-03-26T15:55:10.285,     109.22,      197.30,      140.76
2025-03-26T15:55:10.803,     109.23,      197.34,      140.79
2025-03-26T15:55:11.352,     109.22,      197.33,      140.78
2025-03-26T15:55:11.866,     109.23,      197.31,      140.79
2025-03-26T15:55:12.386,     109.23,      197.31,      140.79
2025-03-26T15:55:12.900,     109.23,      197.31,      140.76
2025-03-26T15:55:13.415,     109.23,      197.32,      140.77
2025-03-26T15:55:13.916,     109.22,      197.34,      140.74
2025-03-26T15:55:14.431,     109.23,      197.35,      140.79
2025-03-26T15:55:14.948,     109.23,      197.33,      140.74
2025-03-26T15:55:15.464,     109.23,      197.34,      140.78
2025-03-26T15:55:15.980,     109.22,      197.32,      140.77
2025-03-26T15:55:16.496,     109.23,      197.32,      140.80
2025-03-26T15:55:16.996,     109.22,      197.32,      140.81
2025-03-26T15:55:17.512,     109.23,      197.33,      140.80
2025-03-26T15:55:18.027,     109.22,      197.35,      140.77
2025-03-26T15:55:18.528,     109.24,      197.32,      140.78
2025-03-26T15:55:19.143,     109.24,      197.34,      140.80
2025-03-26T15:55:19.643,     109.23,      197.35,      140.80
2025-03-26T15:55:20.161,     109.23,      197.33,      140.76
2025-03-26T15:55:20.707,     109.23,      197.32,      140.77
2025-03-26T15:55:21.224,     109.23,      197.33,      140.77
2025-03-26T15:55:21.743,     109.23,      197.34,      140.80
2025-03-26T15:55:22.256,     109.22,      197.35,      140.80
2025-03-26T15:55:22.805,     109.22,      197.33,      140.77
2025-03-26T15:55:23.321,     109.23,      197.32,      140.76
2025-03-26T15:55:23.838,     109.23,      197.32,      140.74
2025-03-26T15:55:24.353,     109.23,      197.32,      140.78
2025-03-26T15:55:24.853,     109.24,      197.33,      140.77
2025-03-26T15:55:25.369,     109.23,      197.32,      140.78
2025-03-26T15:55:25.869,     109.22,      197.33,      140.78
2025-03-26T15:55:26.386,     109.23,      197.34,      140.78
2025-03-26T15:55:26.902,     109.23,      197.33,      140.79
2025-03-26T15:55:27.418,     109.24,      197.33,      140.78
2025-03-26T15:55:27.919,     109.23,      197.33,      140.81
2025-03-26T15:55:28.433,     109.25,      197.34,      140.78
2025-03-26T15:55:28.935,     109.24,      197.32,      140.83
2025-03-26T15:55:29.448,     109.23,      197.34,      140.83
2025-03-26T15:55:29.964,     109.23,      197.35,      140.80
2025-03-26T15:55:30.483,     109.24,      197.32,      140.79
2025-03-26T15:55:30.984,     109.23,      197.32,      140.81
2025-03-26T15:55:31.495,     109.22,      197.35,      140.80
2025-03-26T15:55:32.012,     109.22,      197.32,      140.80
2025-03-26T15:55:32.512,     109.23,      197.34,      140.78
2025-03-26T15:55:33.029,     109.22,      197.34,      140.80
2025-03-26T15:55:33.545,     109.23,      197.34,      140.82
2025-03-26T15:55:34.045,     109.23,      197.34,      140.80
2025-03-26T15:55:34.561,     109.23,      197.31,      140.77
2025-03-26T15:55:35.077,     109.22,      197.34,      140.78
2025-03-26T15:55:35.591,     109.23,      197.34,      140.77
2025-03-26T15:55:36.107,     109.22,      197.34,      140.80
2025-03-26T15:55:36.756,     109.23,      197.33,      140.79
