No.,X,Y,Z,Displacement [mm]
  212,       3.00,       -0.41,        0.05,       3.02
  213,       2.94,       -0.40,        0.06,       2.97
  214,       2.96,       -0.39,        0.09,       2.99
  215,       2.95,       -0.41,        0.09,       2.98
  216,       2.92,       -0.42,        0.09,       2.95
  217,       2.92,       -0.43,        0.08,       2.95
  218,       2.90,       -0.43,        0.09,       2.93
  219,       2.90,       -0.40,        0.11,       2.93
  220,       2.89,       -0.41,        0.13,       2.93
  221,       2.89,       -0.41,        0.11,       2.92
  222,       2.87,       -0.42,        0.12,       2.90
  223,       2.78,       -0.40,        0.16,       2.81
  224,       2.72,       -0.41,        0.08,       2.75
  225,       2.71,       -0.40,        0.11,       2.74
  226,       2.41,       -0.34,        0.19,       2.44
  227,       0.85,       -0.05,        0.12,       0.86
  228,       0.50,       -0.01,        0.18,       0.53
  229,       0.47,        0.02,        0.20,       0.51
  230,       0.45,        0.01,        0.16,       0.48
  231,       0.45,        0.01,        0.17,       0.48
  232,       0.35,       -0.03,        0.12,       0.37
  233,       0.30,       -0.01,        0.14,       0.33
  234,      -0.32,       -0.10,        0.12,       0.36
  235,      -0.83,       -0.11,        0.18,       0.85
  236,      -0.81,       -0.15,        0.20,       0.85
  237,      -0.85,       -0.15,        0.21,       0.88
  238,      -1.09,       -0.11,        0.24,       1.12
  239,      -1.23,       -0.13,        0.23,       1.26
  240,      -1.24,       -0.13,        0.20,       1.26
  241,      -1.16,       -0.14,        0.23,       1.19
  242,      -1.11,       -0.13,        0.20,       1.14
  243,      -1.11,       -0.12,        0.22,       1.14
  244,      -1.07,       -0.16,        0.21,       1.10
  245,      -1.08,       -0.11,        0.21,       1.11
  246,      -1.05,       -0.13,        0.25,       1.09
  247,      -1.05,       -0.15,        0.21,       1.08
  248,      -1.05,       -0.12,        0.26,       1.08
  249,      -1.03,       -0.13,        0.22,       1.06
  250,      -1.02,       -0.12,        0.25,       1.05
  251,      -1.03,       -0.13,        0.20,       1.06
