,x,y,z,Mx,My,Mz,Mx_std,My_std,Mz_std
709,0.0,0.0,6.4,-1.5680000000000005,0.29302,6.2563200000000005,4.463264492478967e-16,0.14238729230553201,0.15679999999999994
710,-3.2,-3.2,9.6,0.5929000000000001,0.97706,1.5680000000000005,0.1443361326623351,0.1257136251786399,4.463264492478967e-16
711,1.6,0.8,9.6,-1.5680000000000005,-0.9300199999999998,1.5680000000000005,4.463264492478967e-16,0.785791526314889,4.463264492478967e-16
712,0.8,4.0,9.6,-1.5680000000000005,-1.5680000000000005,1.5680000000000005,4.463264492478967e-16,4.463264492478967e-16,4.463264492478967e-16
713,1.6,-2.4,9.6,-1.5680000000000005,0.8957200000000003,1.5680000000000005,4.463264492478967e-16,0.11983895590973476,4.463264492478967e-16
714,-3.2,1.6,12.0,0.31654,-1.15542,1.5680000000000005,0.2201747432739677,0.6998315696355701,4.463264492478967e-16
715,-3.2,-1.6,4.8,3.136000000000001,1.5680000000000005,6.272000000000002,8.926528984957934e-16,4.463264492478967e-16,1.785305796991587e-15
716,-2.4,0.8,10.4,0.31262,-0.8428,1.5680000000000005,0.12969418419551978,0.8074081240536776,4.463264492478967e-16
717,-0.8,3.2,4.8,-1.1240599999999998,-4.735360000000001,6.397440000000001,0.7158880029217368,0.22062590120570216,0.42753076137184776
718,-0.8,1.6,4.0,-0.19208000000000006,-4.704000000000001,12.544000000000004,0.6740769922754756,0.0,3.570611593983174e-15
719,-0.8,4.0,4.8,-1.1417,-6.08384,6.2563200000000005,0.7048152060983608,0.5121066555578697,0.1567999999999999
720,-2.4,-3.2,10.4,0.28812,0.8310400000000002,1.5680000000000005,0.1196769456208309,0.13249508624393538,4.463264492478967e-16
721,-3.2,4.0,10.4,0.40866000000000013,-1.5680000000000005,1.5680000000000005,0.14140280025230023,4.463264492478967e-16,4.463264492478967e-16
722,4.0,-2.4,4.8,-4.71968,1.5680000000000005,3.136000000000001,0.15679999999999994,4.463264492478967e-16,8.926528984957934e-16
