X,Y,Z,MagneticField_X,MagneticField_Y,MagneticField_Z
0,11,20,-0.03717088994981026,-0.023140653690782227,-0.004180989105153628
0,12,0,-0.07544668870118741,-0.056765577182029625,0.01497233443505937
0,12,5,-0.06115675113232954,-0.04391645244215939,0.011599522585383767
0,12,10,-0.05053953972334435,-0.03430585138939895,0.006510282776349616
0,12,15,-0.0427727384012731,-0.027341535071612195,0.00132849798016893
0,12,20,-0.03730481087036357,-0.02235763251315951,-0.0033287428081772534
0,13,0,-0.07815932182641694,-0.056648488187048596,0.018049883706696048
0,13,5,-0.06284581956175786,-0.0438547557840617,0.013873056677683928
0,13,10,-0.05154529318153997,-0.03411984331007467,0.008073570816501407
0,13,15,-0.04333994368955808,-0.027033725058146656,0.0023835230750397854
0,13,20,-0.0377856530787122,-0.02215442526625046,-0.002545599216550374
0,14,0,-0.0805290121189864,-0.055927836944546463,0.021171318398824832
0,14,5,-0.0642853470437018,-0.04287709633982128,0.016091443261109072
0,14,10,-0.05226765822010038,-0.03306506304321215,0.009596829477292203
0,14,15,-0.04377206512425021,-0.026437507650875262,0.003517260374586856
0,14,20,-0.03797753703023626,-0.02151273105643286,-0.0017226098665687334
0,15,0,-0.08304927163667523,-0.05536399804137594,0.024407271391847233
0,15,5,-0.0657517443995593,-0.042271147019218996,0.01834220834863508
0,15,10,-0.05317682702901212,-0.0324573999265516,0.011116538131962301
0,15,15,-0.044240298690170154,-0.02584190231362468,0.004619598482066348
0,15,20,-0.038262822866935976,-0.021213428816256583,-0.0009528094013955199
0,16,0,-0.08553856041131104,-0.05429691516709512,0.027316072958746485
0,16,5,-0.06728008324152283,-0.04130291345329906,0.020401089484637046
0,16,10,-0.05403439833516954,-0.03162131227812462,0.01261494674990819
0,16,15,-0.044748194393438606,-0.025227751254743545,0.005671502019831069
0,16,20,-0.03858838291100501,-0.02057767168564084,-0.0002724323662626968
0,17,0,-0.08796694821887623,-0.052628228669359775,0.030563471661158036
0,17,5,-0.06864034765577182,-0.039718631411433475,0.022689619292447057
0,17,10,-0.05471153139919207,-0.030672420124862286,0.01416250459052516
0,17,15,-0.045146529562982006,-0.024389643775247893,0.0067235891786020345
0,17,20,-0.03875400905863631,-0.01978920308483291,0.0005150569225119382
0,18,0,-0.09055190353776471,-0.05114793732402988,0.03346572407883462
0,18,5,-0.07013900110172604,-0.03878320479862897,0.024725853837679033
0,18,10,-0.05558556738890929,-0.029658036479373245,0.015438119720896069
0,18,15,-0.04568313135022647,-0.023544375076508757,0.0075503121557106145
0,18,20,-0.039036418166238214,-0.01956010527604358,0.0010983596523442274
0,19,0,-0.09276931080915657,-0.04891137226098666,0.036568429428326596
0,19,5,-0.07132617211408984,-0.036828436773166856,0.0267746970253397
0,19,10,-0.056224874525645736,-0.02826576080303587,0.01680132207124496
0,19,15,-0.04597778185824458,-0.022293671195984823,0.00850881380829967
0,19,20,-0.039204247765944424,-0.018513587954461994,0.0018445954217162462
0,20,0,-0.0951904149834741,-0.04684643163177868,0.03934239196964133
0,20,5,-0.07266703390867915,-0.035381074794956544,0.02861464071489778
0,20,10,-0.05704064144938181,-0.027253213367609257,0.018024299179826172
0,20,15,-0.04649761292691884,-0.021611702778797898,0.009408189496878442
0,20,20,-0.0394838413514506,-0.01797264047006978,0.0024101481209450396
0,21,0,-0.09717242012486227,-0.04361029501775003,0.04203543885420492
0,21,5,-0.07372469090463948,-0.03287942220590036,0.03033455747337496
0,21,10,-0.05758930101603623,-0.025296058269065985,0.019205349491981886
0,21,15,-0.04668478393928265,-0.0202498469824948,0.010137838168686502
0,21,20,-0.03951609744154731,-0.016837250581466522,0.0029076998408617966
0,22,0,-0.09916758477169788,-0.04096811115191579,0.04448267841841107
0,22,5,-0.07489147998531032,-0.031060839760068557,0.03203060350104052
0,22,10,-0.05823411678295997,-0.024123821765209944,0.020290427224874525
0,22,15,-0.04711476312890195,-0.01929703758109928,0.010832170400293797
0,22,20,-0.03980970743053005,-0.016273901334312647,0.003445097319133311
0,23,0,-0.10086497735340923,-0.03758299669482189,0.04656120700208105
0,23,5,-0.07575455992165503,-0.028658709756396134,0.033407271391847224
0,23,10,-0.058682825315216056,-0.022430958501652592,0.021183988248255608
0,23,15,-0.04732782470314604,-0.017957093891541195,0.011405006732770225
0,23,20,-0.03986993512057779,-0.015257803892765336,0.0038051781123760557
0,24,0,-0.10250006120700207,-0.0339677439099033,0.04861806830701433
0,24,5,-0.07656438976618925,-0.026107479495654305,0.03473368833394541
0,24,10,-0.05905061819072102,-0.02059658464928388,0.022074121679520133
0,24,15,-0.04750789570326845,-0.016736014200024484,0.012037397478271514
0,24,20,-0.039953237850410085,-0.014352491124984702,0.004195189129636432
0,25,0,-0.10381882727384012,-0.030306279838413518,0.050171624433835244
0,25,5,-0.07730175052025952,-0.023510772432366267,0.03573087281184968
0,25,10,-0.05953115436405925,-0.018925205043456975,0.022682519280205652
0,25,15,-0.04775284612559677,-0.015489411188639984,0.012513771575468239
0,25,20,-0.04009028032806953,-0.013504835353164405,0.004414738646101115
0,26,0,-0.10491418778308238,-0.026079385481699108,0.05172873056677685
0,26,5,-0.0777750030603501,-0.0203854204921043,0.036664952870608405
0,26,10,-0.05970479862896315,-0.016632451952503367,0.023412657608030355
0,26,15,-0.047766250459052514,-0.014181233933161957,0.013005202595176884
0,26,20,-0.040005631044191456,-0.012358795446199049,0.00488658342514384
0,27,0,-0.10588780756518544,-0.02200685518423308,0.05280487207736566
0,27,5,-0.07832623332109193,-0.017815032439711106,0.03729159015791407
0,27,10,-0.06003023625902803,-0.014998837066960462,0.023681295140164035
0,27,15,-0.04798445342147142,-0.012999632757987517,0.013215203819316932
0,27,20,-0.04019604602766556,-0.011602827763496148,0.004895519647447666
0,28,0,-0.10631803158281307,-0.017335108336393686,0.05342655159750276
0,28,5,-0.07850465173215815,-0.01447912841229037,0.03777757375443751
0,28,10,-0.06008171134777819,-0.012549088015668996,0.02406757253029747
0,28,15,-0.04788946015424164,-0.011169788223772802,0.013428265393561022
0,28,20,-0.04008917860203207,-0.01044736197821031,0.005233504712939159
0,29,0,-0.1067068796670339,-0.013084098420859348,0.053721324519525035
0,29,5,-0.07870020810380707,-0.011889398947239569,0.037989166360631654
0,29,10,-0.060148365773044436,-0.010796670339086795,0.024109315705716738
0,29,15,-0.04800691639123516,-0.010024972456849066,0.013369261843554903
0,29,20,-0.0401136001958624,-0.009717040029379365,0.005137838168686501
0,30,0,-0.10664671318398825,-0.008261476312890198,0.05375602888970499
0,30,5,-0.07864965112008813,-0.008577916513649165,0.037952993022401765
0,30,10,-0.060071612192434815,-0.008616293303953977,0.024148120945036117
